Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
AUDITOR II,DEPARTMENT OF FINANCE,F,SALARY,,"$90,228.00 ",
CIVIL ENGINEER III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,"$125,856.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$140,574.00 ",
FOREMAN OF CONSTRUCTION LABORERS,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$52.50 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$138,510.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
MACHINIST (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$60.39 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$105,408.00 ",
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$73,248.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$134,292.00 ",
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,804.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$136,362.00 ",
ASPHALT LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$51.40 
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,"$88,224.00 ",
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
SENIOR PUBLIC INFORMATION OFFICER,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,"$121,212.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$93,252.00 ",
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$48.73 
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$80,448.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
GENERAL COUNSEL,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$186,156.00 ",
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$48.73 
MANAGING DEPUTY COMMISSIONER - 41,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$211,752.00 ",
ADMINISTRATIVE ASSISTANT,DEPARTMENT OF FINANCE,F,SALARY,,"$51,972.00 ",
ENVIRONMENTAL HEALTH & SAFETY COORD,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,"$79,728.00 ",
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$104,430.00 ",
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$93,252.00 ",
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$43.86 
STEAMFITTER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$60.00 
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,$4.73 
WINDOW WASHER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$29.80 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
MACHINIST,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$60.39 
INFORMATION/MEDIA RETRIEVAL SPECIALIST,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$90,780.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$129,990.00 ",
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,F,SALARY,,"$86,808.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$47.79 
PARKING ENFORCEMENT AIDE,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$80,400.00 ",
LABORER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$51.40 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
POLICE OFFICER (ASSIGNED AS (SWAT),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$129,756.00 ",
BOOTER - PARKING,DEPARTMENT OF FINANCE,F,HOURLY,40,,$45.32 
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$102,822.00 ",
COORD OF PAYMENT SERVICES,DEPARTMENT OF FINANCE,F,SALARY,,"$85,128.00 ",
MACHINIST (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$60.39 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$126,840.00 ",
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$80,448.00 ",
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$126,840.00 ",
SANITARIAN II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$78,960.00 ",
STREET LIGHT REPAIR WORKER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$134,326.44 ",
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$60.50 
REGIONAL LIBRARY DIRECTOR,CHICAGO PUBLIC LIBRARY,F,SALARY,,"$121,320.00 ",
SUPERVISING POLICE MENTAL HEALTH CLINICIAN,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$142,188.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,"$77,856.00 ",
LINEMAN,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$64.58 
SENIOR FISCAL POLICY ANALYST,DEPARTMENT OF FINANCE,F,SALARY,,"$112,080.00 ",
